"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-12-05 08:47:30.294","16","6495","검역","隔離區","Lazaretto","6","6300","0","6","-","13727","2021년 12월 05일 00시","null","10","1","19"
"","","2021-12-05 08:47:30.294","9","3820","제주","济州","Jeju","17","3532","16","1","566","13726","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.294","62","15586","경남","庆南","Gyeongsangnam-do","138","14448","136","2","467","13725","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.293","111","11742","경북","庆北","Gyeongsangbuk-do","99","10611","98","1","445","13724","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.293","27","4632","전남","全南","Jeollanam-do","47","4152","47","0","250","13723","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.293","78","6641","전북","全北","Jeollabuk-do","57","6002","56","1","368","13722","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.293","84","13637","충남","忠南","Chungcheongnam-do","174","11978","174","0","643","13721","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.293","95","9177","충북","忠北","Chungcheongbuk-do","82","8559","82","0","573","13720","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.292","76","9216","강원","江原","Gangwon-do","116","8126","116","0","597","13719","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.292","1268","141171","경기","京畿","Gyeonggi-do","1485","119818","1484","1","1051","13718","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.292","3","1619","세종","世宗","Sejong","16","1481","16","0","455","13717","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.292","57","5718","울산","蔚山","Ulsan","16","5557","16","0","503","13716","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.291","73","9174","대전","大田","Daejeon","142","8163","141","1","627","13715","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.291","31","6477","광주","光州","Gwangju","40","6016","40","0","447","13714","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.291","163","26227","인천","仁川","Incheon","337","22389","336","1","891","13713","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.291","322","19420","대구","大邱","Daegu","117","18149","117","0","803","13712","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.291","184","17104","부산","釜山","Busan","207","15256","207","0","504","13711","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.29","1193","165178","서울","首尔","Seoul","2032","136638","2022","10","1708","13710","2021년 12월 05일 00시","null","","",""
"","","2021-12-05 08:47:30.29","3852","473034","합계","合计","Total","5128","407175","5104","24","913","13709","2021년 12월 05일 00시","null","","",""
